Phase,Number,Name,Program,Project Manager,Portfolio Category,YTD Actuals,LTD Actuals,EAC (Current),Annual (Current),EAC (Performance/Reference),Annual (Performance/Reference),EAC Variance,Budget Variance
PLANNING,1026798,RSD EMRGNT NEED-EXISTING PRJ,,"Mitchell, Patricia",Quick Response,$0.00,$0.00,,,,,,
PLANNING,1026799,RSD CIP GRANT CONTIGENCY,,"Mitchell, Patricia",Contingencies,$0.00,$0.00,,,,,,
OPERATIONS,1026800,RSD CAP PROJ O S FUND 3860,,"Mitchell, Patricia",Administrative,$0.00,"$179,399.42","$179,399.42",,,,,
PREDESIGN,1027163,RSD QUICK RESPONSE,RSD QUICK RESPONSE,"Mitchell, Patricia",Contingencies,$764.48,"$16,956,402.37","$16,956,402.37",$764.48,,,,
IMPLEMENT,1111819,RSD C W DRAINAGE PRESERVATION,RSD C W DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,"$72,540.18","$28,937,899.90","$29,415,105.71","$52,991.42","$29,370,485.72","$505,126.00","$44,619.99",
OPERATIONS,1114792,RSD ROADS-COUNTY ROAD CONST,,"Mitchell, Patricia",Administrative,"$270,105.00","$10,866,376.61","$10,596,271.61",,,,,
CLOSEOUT,1116885,RSD WOODINVILLE DUVALL ITS,,"McManus, Aileen",Traffic Control,$0.00,"$1,091,709.71","$1,091,709.71",,,,,
CLOSEOUT,1124986,RSD CW HRRRP,RSD CW HRRRP,,Roadway,$0.00,"$2,454,816.42","$2,454,816.42",,,,,
IMPLEMENT,1125758,RSD W SNOQ VLY RD/NE124-W/D RD,,"Shular, Ryan",Roadway,"$2,033.43","$601,497.27","$601,497.27","$2,033.43",,,,
DESIGN,1127271,RSD PRESTON MAINT FACILITY,,"Sugui, Rey",Maintenance Facilities,"$26,848.15","$1,954,754.33","$3,333,709.82","$1,405,803.64","$3,727,906.18","$1,800,000.00","-$394,196.36",
IMPLEMENT,1127273,RSD FAILED ENV & HVAC REHAB,,"Knauer, Jennifer",Maintenance Facilities,"$1,964,261.10","$6,117,373.75","$5,811,481.23","$1,648,659.99","$5,432,821.24","$1,270,000.00","$378,659.99",-12.60%
DESIGN,1127589,RSD 165 ST FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,"Karinen, Martin",Drainage,"$72,540.18","$379,007.29","$856,213.10","$52,991.42","$811,593.11","$505,126.00","$44,619.99",
CLOSEOUT,1127590,RSD 212 AV SE FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,"Bleasdale, Don",Drainage,$0.00,"$235,859.80","$235,859.80",,,,,
IMPLEMENT,1129582,RSD EMERGENT NEED 3855,,"Foote, Mark",Administrative,$0.00,$0.00,,,,,,
IMPLEMENT,1129583,RSD GRANT CONTINGENCY 3855,,"Foote, Mark",Administrative,$0.00,$0.00,,,,,,
IMPLEMENT,1129584,RSD CWP QUICK RESPONSE,RSD CWP QUICK RESPONSE,"Mitchell, Patricia",Roadside,"$976,435.87","$9,740,557.20","$10,323,685.75","$1,137,793.85","$12,998,326.90","$3,812,435.00","-$2,674,641.15",
IMPLEMENT,1129585,RSD CWP ROADWAY PRESERVATION,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,"$6,322,592.24","$43,282,272.38","$48,629,133.50","$5,559,624.19","$50,059,789.47","$6,976,610.00","-$1,430,655.97",
IMPLEMENT,1129586,RSD CWP DRAINAGE PRESERVATION,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,"$2,578,496.68","$17,680,899.65","$23,905,459.63","$3,732,341.77","$24,647,115.85","$3,958,998.00","-$741,656.22",
PLANNING,1129587,RSD CWP GUARDRAIL PRESERVATION,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,"$1,828,869.69","$5,934,138.25","$8,390,033.98","$2,528,932.01","$7,063,938.93","$2,089,999.63","$1,326,095.05",
IMPLEMENT,1129588,RSD CWP BRIDGE PRIORITY MAINT,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$550,873.57","$3,584,577.73","$3,472,393.28","$438,689.12","$4,539,872.12","$1,030,000.00","-$1,067,478.84",
